bollinger_period,bollinger_std,bollinger_width_threshold,rsi_upper,rsi_lower,atr_multiplier,final_value
10,0.5,0.06,65,35,0.5,1003.920036315918
10,0.5,0.06,65,35,0.8,1003.920036315918
10,0.5,0.06,65,35,1,1003.920036315918
10,0.5,0.06,65,35,1.2,1003.920036315918
10,0.5,0.06,65,35,1.5,1003.920036315918
10,0.5,0.06,65,35,2,1003.920036315918
10,0.5,0.06,65,40,0.5,991.3132973921722
10,0.5,0.06,65,40,0.8,990.3024949980045
10,0.5,0.06,65,40,1,989.8727129623301
10,0.5,0.06,65,40,1.2,989.7613784934349
10,0.5,0.06,65,40,1.5,990.9400110244751
10,0.5,0.06,65,40,2,990.9400110244751
10,0.5,0.06,70,25,0.5,1000.0
10,0.5,0.06,70,25,0.8,1000.0
10,0.5,0.06,70,25,1,1000.0
10,0.5,0.06,70,25,1.2,1000.0
10,0.5,0.06,70,25,1.5,1000.0
10,0.5,0.06,70,25,2,1000.0
10,0.5,0.06,70,30,0.5,1000.0
10,0.5,0.06,70,30,0.8,1000.0
10,0.5,0.06,70,30,1,1000.0
10,0.5,0.06,70,30,1.2,1000.0
10,0.5,0.06,70,30,1.5,1000.0
10,0.5,0.06,70,30,2,1000.0
10,0.5,0.06,70,35,0.5,1003.920036315918
10,0.5,0.06,70,35,0.8,1003.920036315918
10,0.5,0.06,70,35,1,1003.920036315918
10,0.5,0.06,70,35,1.2,1003.920036315918
10,0.5,0.06,70,35,1.5,1003.920036315918
10,0.5,0.06,70,35,2,1003.920036315918
10,0.5,0.06,70,40,0.5,991.3132973921722
10,0.5,0.06,70,40,0.8,990.3024949980045
10,0.5,0.06,70,40,1,989.8727129623301
10,0.5,0.06,70,40,1.2,989.7613784934349
10,0.5,0.06,70,40,1.5,990.9400110244751
10,0.5,0.06,70,40,2,990.9400110244751
10,0.5,0.06,75,25,0.5,1000.0
10,0.5,0.06,75,25,0.8,1000.0
10,0.5,0.06,75,25,1,1000.0
10,0.5,0.06,75,25,1.2,1000.0
10,0.5,0.06,75,25,1.5,1000.0
10,0.5,0.06,75,25,2,1000.0
10,0.5,0.06,75,30,0.5,1000.0
10,0.5,0.06,75,30,0.8,1000.0
10,0.5,0.06,75,30,1,1000.0
10,0.5,0.06,75,30,1.2,1000.0
10,0.5,0.06,75,30,1.5,1000.0
10,0.5,0.06,75,30,2,1000.0
10,0.5,0.06,75,35,0.5,1003.920036315918
10,0.5,0.06,75,35,0.8,1003.920036315918
10,0.5,0.06,75,35,1,1003.920036315918
10,0.5,0.06,75,35,1.2,1003.920036315918
10,0.5,0.06,75,35,1.5,1003.920036315918
10,0.5,0.06,75,35,2,1003.920036315918
10,0.5,0.06,75,40,0.5,991.3132973921722
10,0.5,0.06,75,40,0.8,990.3024949980045
10,0.5,0.06,75,40,1,989.8727129623301
10,0.5,0.06,75,40,1.2,989.7613784934349
10,0.5,0.06,75,40,1.5,990.9400110244751
10,0.5,0.06,75,40,2,990.9400110244751
10,0.5,0.06,80,25,0.5,1000.0
10,0.5,0.06,80,25,0.8,1000.0
10,0.5,0.06,80,25,1,1000.0
10,0.5,0.06,80,25,1.2,1000.0
10,0.5,0.06,80,25,1.5,1000.0
10,0.5,0.06,80,25,2,1000.0
10,0.5,0.06,80,30,0.5,1000.0
10,0.5,0.06,80,30,0.8,1000.0
10,0.5,0.06,80,30,1,1000.0
10,0.5,0.06,80,30,1.2,1000.0
10,0.5,0.06,80,30,1.5,1000.0
10,0.5,0.06,80,30,2,1000.0
10,0.5,0.06,80,35,0.5,1003.920036315918
10,0.5,0.06,80,35,0.8,1003.920036315918
10,0.5,0.06,80,35,1,1003.920036315918
10,0.5,0.06,80,35,1.2,1003.920036315918
10,0.5,0.06,80,35,1.5,1003.920036315918
10,0.5,0.06,80,35,2,1003.920036315918
10,0.5,0.06,80,40,0.5,991.3132973921722
10,0.5,0.06,80,40,0.8,990.3024949980045
10,0.5,0.06,80,40,1,989.8727129623301
10,0.5,0.06,80,40,1.2,989.7613784934349
10,0.5,0.06,80,40,1.5,990.9400110244751
10,0.5,0.06,80,40,2,990.9400110244751
10,0.5,0.07,60,25,0.5,1000.0
10,0.5,0.07,60,25,0.8,1000.0
